ID,USER_ID,WORKFLOW_STATE,FORCED_READ_STATE,DISCUSSION_ENTRY_ID,RATING,META_TS,TS_CARGA,TS_PROCESSAMENT,IND_LAST,METADATA_FILENAME,METADATA_FILE_LAST_MODIFIED
19033728,191041,read,,890724,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19033727,97827,read,,599902,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19033729,200825,read,,639432,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468980,166609,read,,893052,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468982,169487,read,,798588,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468981,167828,read,,897347,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468984,184383,read,,910429,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468983,182620,read,False,912683,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468986,184383,read,,910615,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468985,184383,read,,910445,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468988,167828,read,,905128,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468987,168873,read,,913979,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19033731,97827,read,,606375,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19033730,181428,read,,831286,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19468989,167828,read,,905069,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
19033733,96409,read,False,866466,,2024-03-28 19:41:48.802000,2025-02-18 14:14:46.140000,2025-02-18 14:55:59.754000,0,cd2/canvas/discussion_entry_participants/part-00013-498e00a9-7d98-4c99-a2ec-3882285e7193-c000.tsv.gz,2025-02-18 14:15:09
